booking_id,customer,day,time,party_size
1001,Akash,Monday,Dinner,4
1002,ANANYA,Saturday,Lunch,2
1003,vArUn,Monday,Lunch,2
1004,ROHAN,Friday,Lunch,4
1005,rAvI,Tuesday,Dinner,5
1006,Ayesha,Sunday,Lunch,7
1007,karan,Tuesday,Lunch,6
1008,Sneha,Thursday,Lunch,6
1009,shreya,Friday,Dinner,1
1010,nAiNa,Friday,Lunch,7
1011,amit,Sunday,Dinner,4
1012,Ravi,Monday,Lunch,5
1013,AMIT,Sunday,Lunch,7
1014,vIkRaM,Saturday,Dinner,3
1015,meera,Tuesday,Dinner,2
1016,TANYA,Friday,Lunch,3
1017,nIkHiL,Wednesday,Lunch,6
1018,Mohit,Tuesday,Lunch,6
1019,aditya,Monday,Lunch,6
1020,rOhAn,Thursday,Dinner,3
1021,VIKRAM,Tuesday,Dinner,7
1022,vIvEk,Wednesday,Lunch,3
1023,sAhIl,Monday,Lunch,2
1024,ARJUN,Sunday,Dinner,2
1025,aDiTyA,Friday,Dinner,5
1026,Kavya,Saturday,Lunch,5
1027,manish,Monday,Dinner,7
1028,nEhA,Monday,Dinner,3
1029,Sahil,Sunday,Dinner,4
1030,arjun,Sunday,Lunch,1
1031,tanya,Thursday,Lunch,2
1032,divya,Sunday,Dinner,4
1033,PRIYA,Friday,Lunch,2
1034,nAiNa,Sunday,Lunch,3
1035,aRjUn,Friday,Lunch,5
1036,sAhIl,Tuesday,Lunch,5
1037,aditya,Thursday,Dinner,2
1038,ANANYA,Monday,Dinner,1
1039,VARUN,Friday,Lunch,1
1040,Amit,Tuesday,Lunch,1
1041,shreya,Monday,Lunch,5
1042,sImRaN,Tuesday,Lunch,8
1043,aNaNyA,Sunday,Dinner,4
1044,Sneha,Saturday,Dinner,6
1045,pOoJa,Thursday,Lunch,2
1046,pRiYa,Saturday,Dinner,2
1047,ANANYA,Tuesday,Dinner,3
1048,POOJA,Wednesday,Dinner,4
1049,Shreya,Thursday,Lunch,1
1050,Akash,Monday,Lunch,3
1051,pOoJa,Thursday,Lunch,7
1052,Vivek,Tuesday,Dinner,1
1053,aditya,Sunday,Dinner,5
1054,pOoJa,Tuesday,Lunch,5
1055,Rohan,Friday,Lunch,6
1056,Priya,Friday,Dinner,3
1057,Priya,Sunday,Lunch,2
1058,Tanya,Saturday,Lunch,7
1059,SNEHA,Friday,Lunch,2
1060,pooja,Wednesday,Lunch,6
1061,ananya,Thursday,Lunch,5
1062,nikhil,Sunday,Lunch,1
1063,Nikhil,Monday,Lunch,5
1064,arjun,Monday,Lunch,6
1065,ISHA,Thursday,Dinner,1
1066,simran,Saturday,Lunch,3
1067,Vikram,Monday,Lunch,5
1068,ISHA,Saturday,Dinner,4
1069,simran,Friday,Dinner,5
1070,Vivek,Monday,Dinner,5
1071,Priya,Wednesday,Lunch,5
1072,nEhA,Friday,Dinner,1
1073,Sneha,Saturday,Lunch,1
1074,mohit,Friday,Lunch,7
1075,Arjun,Wednesday,Dinner,1
1076,vivek,Tuesday,Lunch,2
1077,mEeRa,Friday,Lunch,4
1078,SHREYA,Sunday,Lunch,7
1079,RAHUL,Saturday,Dinner,7
1080,AYESHA,Wednesday,Lunch,2
1081,Aditya,Sunday,Dinner,4
1082,rOhAn,Wednesday,Dinner,4
1083,Ananya,Saturday,Lunch,7
1084,karan,Sunday,Lunch,5
1085,mEeRa,Saturday,Dinner,1
1086,sneha,Tuesday,Dinner,1
1087,sNeHa,Wednesday,Dinner,7
1088,Tanya,Thursday,Lunch,5
1089,pRiYa,Monday,Lunch,6
1090,Pooja,Saturday,Dinner,6
1091,Simran,Saturday,Dinner,5
1092,sImRaN,Wednesday,Dinner,5
1093,KAVYA,Tuesday,Dinner,7
1094,SIMRAN,Friday,Dinner,7
1095,Kavya,Wednesday,Dinner,4
1096,pooja,Thursday,Dinner,8
1097,SIMRAN,Friday,Dinner,3
1098,Simran,Wednesday,Dinner,2
1099,MOHIT,Saturday,Dinner,4
1100,AYESHA,Tuesday,Lunch,1
