PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
2001,0,2,"Anderson, Mr. Alex 1",male,44.37,0,1,SYN-00001,19.3657,,S
2002,1,3,"Bennett, Mr. Morgan 2",male,29.72,0,1,SYN-00002,11.5649,,C
2003,0,3,"Carter, Mr. Taylor 3",male,,1,0,SYN-00003,4.9445,G158,S
2004,0,1,"Davis, Mr. Jordan 4",male,5.97,0,0,SYN-00004,87.3293,,S
2005,0,3,"Evans, Mrs. Casey 5",female,23.82,0,0,SYN-00005,19.443,,S
2006,0,2,"Foster, Mr. Riley 6",male,40.57,0,0,SYN-00006,21.5851,F157,S
2007,0,1,"Green, Mr. Avery 7",male,61.87,0,0,SYN-00007,45.1554,E110,S
2008,0,3,"Hall, Mr. Jamie 8",male,30.86,1,0,SYN-00008,7.4761,C133,S
2009,0,1,"Anderson, Mrs. Alex 9",female,19.29,0,1,SYN-00009,28.1103,A65,C
2010,1,1,"Bennett, Mr. Morgan 10",male,,0,0,SYN-00010,65.0324,,S
2011,0,3,"Carter, Mr. Taylor 11",male,37.73,0,1,SYN-00011,11.8641,,S
2012,1,1,"Davis, Mr. Jordan 12",male,5.3,1,1,SYN-00012,42.7491,,S
2013,1,3,"Evans, Mr. Casey 13",male,37.7,0,2,SYN-00013,29.0617,,S
2014,0,3,"Foster, Mr. Riley 14",male,41.45,1,1,SYN-00014,15.4613,,S
2015,0,3,"Green, Mr. Avery 15",male,36.11,0,1,SYN-00015,3.7306,B98,S
2016,1,3,"Hall, Mrs. Jamie 16",female,,1,0,SYN-00016,3.7729,E51,S
2017,0,3,"Anderson, Mr. Alex 17",male,37.91,1,1,SYN-00017,5.8204,D39,S
2018,0,3,"Bennett, Mrs. Morgan 18",female,32.39,0,0,SYN-00018,23.756,,S
2019,1,2,"Carter, Mr. Taylor 19",male,19.11,0,1,SYN-00019,32.6466,,S
2020,0,1,"Davis, Mr. Jordan 20",male,55.91,0,0,SYN-00020,170.9784,,S
2021,0,3,"Evans, Mr. Casey 21",male,25.08,0,0,SYN-00021,10.0563,,S
2022,0,3,"Foster, Mrs. Riley 22",female,40.86,2,1,SYN-00022,8.9117,B106,S
2023,0,1,"Green, Mr. Avery 23",male,0.17,0,0,SYN-00023,35.2465,,S
2024,0,3,"Hall, Mr. Jamie 24",male,,1,0,SYN-00024,12.1207,,C
2025,0,1,"Anderson, Mr. Alex 25",male,50.56,0,0,SYN-00025,62.8407,,S
2026,0,3,"Bennett, Mrs. Morgan 26",female,30.42,0,0,SYN-00026,8.7891,,C
2027,0,2,"Carter, Mr. Taylor 27",male,37.82,1,1,SYN-00027,48.6991,C111,S
